# {"t_start": 1672454481.0872173, "env_id": "PctContinuous-v0"} 
r,l,t
5.830905,27,984.054979
5.678065,26,986.016613
6.064118,24,987.874721
4.911148,20,989.40319
6.146509,30,991.724811
5.336287,24,993.47098
6.38523,20,994.99236
6.128191,32,997.419653
7.152083,25,999.308884
6.242496,23,1001.00036
6.313313,22,1002.710093
5.654485,23,1004.420449
6.623937,23,1006.180786
6.345837,24,1007.959014
6.780756,29,1010.156715
6.542345,22,1011.837123
5.272813,20,1013.394373
5.563669,22,1015.041169
5.097515,18,1016.403635
5.383595,23,1018.178573
4.179838,16,1019.390582
5.894832,25,1021.322372
6.20459,27,1023.351676
6.77808,38,1026.213765
5.591348,25,1028.171479
4.973127,19,1029.597966
7.186665,27,1031.63038
7.062308,28,1033.798363
4.154133,12,1034.698136
6.554091,24,1036.546163
5.205802,22,1038.200805
5.245117,24,1040.0441
4.251756,18,1041.407177
5.795495,29,1043.623531
6.308407,20,1045.116323
5.445086,24,1046.922522
5.767155,26,1048.815395
5.973102,25,1050.701349
5.348077,19,1052.183297
6.783521,32,1054.62843
6.218448,28,1056.716619
5.308345,22,1058.456723
6.050939,26,1060.40347
5.037865,18,1061.728673
5.607428,27,1063.829674
5.092576,18,1065.195012
6.195103,17,1066.521715
5.520152,22,1068.174093
5.288477,20,1069.688737
4.065399,15,1070.857062
6.48987,30,1073.07971
5.613415,20,1074.61816
6.197487,23,1076.349992
6.444858,23,1078.087806
6.113841,23,1079.823585
4.422745,14,1080.87649
5.839026,20,1082.379896
6.352074,29,1084.554417
5.147473,18,1085.918478
5.497616,22,1087.543427
5.406403,21,1089.147362
6.339035,27,1091.178525
5.51887,25,1093.115294
6.632169,20,1094.593509
5.844992,24,1096.458216
7.242764,27,1098.464792
6.387076,25,1100.332015
5.635732,22,1102.016301
5.629878,20,1103.554566
6.086275,28,1105.716746
6.194112,27,1107.828958
6.659443,25,1109.673199
7.289878,31,1112.009677
5.383616,23,1113.739256
5.263249,19,1115.113838
4.937661,14,1116.209872
6.69366,26,1118.14453
5.921786,23,1119.921424
4.999542,21,1121.498741
5.848023,20,1123.032146
6.299054,25,1124.886194
5.347179,20,1126.37492
5.294231,20,1127.918127
5.135733,20,1129.430468
5.6457,22,1131.130362
6.120576,30,1133.384434
5.565932,19,1134.809746
6.806474,23,1136.582845
5.924547,28,1138.734601
4.029885,17,1139.993653
5.921792,19,1141.451199
6.758328,30,1143.754837
3.583508,17,1145.045338
6.855602,26,1147.0651
4.035854,15,1148.170191
5.374441,21,1149.796451
6.15866,25,1151.698662
4.328434,22,1153.387777
5.84647,27,1155.446906
6.080542,31,1157.874876
6.504551,29,1159.996225
5.417054,23,1161.804411
6.533263,23,1163.585157
4.579719,21,1165.233822
7.575008,39,1168.15948
5.649404,22,1169.829528
5.318171,21,1171.416302
6.492086,27,1173.517791
6.398593,26,1175.478006
6.285681,25,1177.416209
5.443106,23,1179.151391
5.65963,24,1180.995671
5.759731,24,1182.761028
5.93308,22,1184.485495
5.770545,21,1186.078322
3.010169,13,1187.047722
6.088497,24,1188.920803
4.897963,16,1190.138525
7.301875,26,1192.130798
4.601602,18,1193.511134
6.091834,22,1195.156601
6.721453,25,1197.053125
6.090896,24,1198.875255
4.389141,18,1200.31579
6.938951,27,1202.363549
6.933686,23,1204.140416
6.512414,27,1206.151312
5.29915,20,1207.71289
5.31631,28,1209.811493
6.005057,19,1211.310558
6.018136,20,1212.845463
6.002432,24,1214.701517
5.617379,25,1216.588212
6.992982,40,1219.616752
6.549798,30,1221.922832
6.08154,27,1224.020498
4.933149,27,1226.120366
6.190241,28,1228.284949
4.433106,17,1229.560894
7.523958,33,1232.128052
5.880735,29,1234.358116
6.223648,24,1236.173678
5.767589,24,1238.000591
